Model,distalStraightRadiusMm,distalStraightLengthMm,distalCurvedRadiusMm,distalCurvedLengthMm,midRadiusMm,midLengthMm,proximalCurvedRadiusMm,proximalCurvedLengthMm,proximalStraightRadiusMm,proximalStraightLengthMm
Harmony (animal),15.5,8.9,15,8.8,11,17.7,21,8.8,21.5,8.9
Harmony (human),31,17.8,30,17.6,22,35.4,42,17.6,43,17.8
