Model,frontalArmAngleL,frontalArmAngleP,frontalArmAngleC,frontalArmDetectorRotationAngle,frontalArmSourceToObjectDistance,frontalArmSourceToImageDistance,lateralArmAngleP,lateralArmAngleC,lateralArmDetectorRotationAngle,lateralArmOffset,lateralArmSourceToObjectDistance,lateralArmSourceToImageDistance,tableShiftLongitudinal,tableShiftLateral,tableShiftVertical
Source Left,0,0,0,0,720,1100,0,0,0,0,720,1100,0,0,-145
Source Right,0,0,0,0,720,1100,-180,0,0,0,720,1100,0,0,-145
